item,variant,eval,ccc_mean,ccc_std,mae_mean
9,item_plus_v2_plus_hcssl,5split,0.24663333333333334,0.047353798392760646,0.3622666666666667
9,item_plus_all_embed,5split,0.19866666666666666,0.020251803760543297,0.389
9,hy_residual_all_embed,5split,0.30540000000000006,0.05943080009557334,0.37643333333333334
10,item_plus_v2_plus_hcssl,5split,0.5318999999999999,0.0460362900329729,0.4854
10,item_plus_all_embed,5split,0.48173333333333335,0.03933906737865327,0.5097666666666667
10,hy_residual_all_embed,5split,0.4986,0.0072124891681028015,0.5364
11,item_plus_v2_plus_hcssl,5split,0.11783333333333333,0.055312586471997695,0.42030000000000006
11,item_plus_all_embed,5split,0.1171,0.09194110433678,0.42386666666666667
11,hy_residual_all_embed,5split,0.14816666666666667,0.016859484636910536,0.4122333333333333
12,item_plus_v2_plus_hcssl,5split,0.5151333333333333,0.018162293051508918,0.5616333333333333
12,item_plus_all_embed,5split,0.5147333333333334,0.018472742682726417,0.5709000000000001
12,hy_residual_all_embed,5split,0.49489999999999995,0.04623209563351703,0.5886333333333335
13,item_plus_v2_plus_hcssl,5split,0.13116666666666668,0.023247126465197557,0.6255666666666667
13,item_plus_all_embed,5split,0.12006666666666665,0.0460637480985741,0.6250333333333333
13,hy_residual_all_embed,5split,0.07133333333333333,0.0200108859263041,0.6694999999999999
14,item_plus_v2_plus_hcssl,5split,0.2779,0.025372425977820866,0.5763666666666667
14,item_plus_all_embed,5split,0.28176666666666667,0.03470565115686812,0.5738333333333333
14,hy_residual_all_embed,5split,0.1971333333333333,0.022786887067395196,0.6041666666666666
18,item_plus_v2_plus_hcssl,5split,0.35046666666666665,0.031559080397811905,0.9652
18,item_plus_all_embed,5split,0.35046666666666665,0.031559080397811905,0.9652
18,hy_residual_all_embed,5split,0.4059333333333333,0.060350660495326995,0.9535333333333335
