cohort,stage2_policy,direction,seed,n_train,n_test,ccc,mae,r,cal_slope
drop_allmissing,stage2_current,NLS_to_WPD,42,68,27,0.1887,5.9024,0.1978,0.1452
drop_allmissing,stage2_current,WPD_to_NLS,42,27,68,0.0921,10.3437,0.1485,0.0696
drop_allmissing,stage2_current,NLS_to_WPD,1337,68,27,0.2398,6.1903,0.2428,0.2142
drop_allmissing,stage2_current,WPD_to_NLS,1337,27,68,0.1044,10.4612,0.1667,0.0798
drop_allmissing,stage2_current,NLS_to_WPD,7,68,27,0.2526,6.4768,0.2565,0.2335
drop_allmissing,stage2_current,WPD_to_NLS,7,27,68,0.1018,10.538,0.1586,0.0793
drop_allmissing,stage2_no_cv,NLS_to_WPD,42,68,27,0.1363,6.4168,0.1393,0.1158
drop_allmissing,stage2_no_cv,WPD_to_NLS,42,27,68,0.0936,10.3394,0.1543,0.0708
drop_allmissing,stage2_no_cv,NLS_to_WPD,1337,68,27,0.1536,6.756,0.1574,0.1265
drop_allmissing,stage2_no_cv,WPD_to_NLS,1337,27,68,0.1188,10.3669,0.19,0.0901
drop_allmissing,stage2_no_cv,NLS_to_WPD,7,68,27,0.2161,6.635,0.2304,0.1963
drop_allmissing,stage2_no_cv,WPD_to_NLS,7,27,68,0.1013,10.5797,0.164,0.0801
complete33,stage2_current,NLS_to_WPD,42,64,25,0.2331,6.4887,0.2469,0.1995
complete33,stage2_current,WPD_to_NLS,42,25,64,-0.0312,10.9498,-0.0501,-0.0223
complete33,stage2_current,NLS_to_WPD,1337,64,25,0.138,6.7401,0.1519,0.1208
complete33,stage2_current,WPD_to_NLS,1337,25,64,-0.0131,11.0734,-0.0214,-0.0094
complete33,stage2_current,NLS_to_WPD,7,64,25,0.1463,6.4696,0.1571,0.1176
complete33,stage2_current,WPD_to_NLS,7,25,64,-0.0395,10.8466,-0.0585,-0.0267
complete33,stage2_no_cv,NLS_to_WPD,42,64,25,0.2513,6.1545,0.2582,0.2175
complete33,stage2_no_cv,WPD_to_NLS,42,25,64,-0.0122,10.7724,-0.02,-0.0086
complete33,stage2_no_cv,NLS_to_WPD,1337,64,25,0.0057,7.025,0.006,0.0045
complete33,stage2_no_cv,WPD_to_NLS,1337,25,64,0.0166,10.8284,0.0276,0.012
complete33,stage2_no_cv,NLS_to_WPD,7,64,25,0.1725,6.4104,0.1815,0.1428
complete33,stage2_no_cv,WPD_to_NLS,7,25,64,-0.0355,10.823,-0.0547,-0.024
