cohort,stage2_policy,seed,n,ccc,mae,r,cal_slope
drop_allmissing_validrange,stage2_current,42,95,0.3506,7.7946,0.3797,0.2537
drop_allmissing_validrange,stage2_current,1337,95,0.3947,7.3103,0.4301,0.2824
drop_allmissing_validrange,stage2_current,7,95,0.3733,7.705,0.4028,0.2717
drop_allmissing_validrange,stage2_no_cv,42,95,0.3488,7.9886,0.3735,0.2572
drop_allmissing_validrange,stage2_no_cv,1337,95,0.3714,7.6476,0.3998,0.2712
drop_allmissing_validrange,stage2_no_cv,7,95,0.3925,7.8229,0.416,0.2951
complete33_validrange,stage2_current,42,88,0.4362,7.4047,0.4698,0.3182
complete33_validrange,stage2_current,1337,88,0.4146,7.3977,0.455,0.2936
complete33_validrange,stage2_current,7,88,0.4147,7.4704,0.455,0.294
complete33_validrange,stage2_no_cv,42,88,0.4344,7.3755,0.4668,0.3181
complete33_validrange,stage2_no_cv,1337,88,0.3763,7.5687,0.4144,0.2653
complete33_validrange,stage2_no_cv,7,88,0.3753,7.7161,0.4066,0.2712
