item,variant,eval,ccc_mean,ccc_std,mae_mean,scrambled_label_ccc,canary_feature_ccc,sid_shuffle_ccc
8,joints_v2_only,5split,0.12863333333333335,0.03983853522519231,0.8005,-0.09347644889891132,0.17322125867415578,-0.011584703842216576
8,joints_v2_plus_v2,5split,0.1909,0.051749460544692316,0.7851,0.0005939530089322705,0.24089404335526948,0.21963472835784784
8,hy_residual_plus_jv2,5split,0.3217333333333333,0.015082292781787379,0.7168333333333333,-0.12397852496653156,0.3693740817986562,0.31370688952541653
8,late_fusion_jv2,5split,0.1271,0.016671532623007402,0.7487,-0.01138779505010472,0.1385073282817138,0.12170475963474638
9,joints_v2_only,5split,0.18946666666666667,0.055531452549183534,0.3853,-0.02132418238884855,0.11121920897497224,0.030642846410381036
9,joints_v2_plus_v2,5split,0.15466666666666665,0.035089346278068825,0.3878,-0.015433337340034518,0.2129897993295726,0.17236573919915332
9,hy_residual_plus_jv2,5split,0.3168333333333333,0.05388044378271418,0.36410000000000003,0.013112036132459088,0.3568157851345287,0.32620554132845436
9,late_fusion_jv2,5split,0.06976666666666666,0.043029782967407844,0.38243333333333335,-0.05976907195668961,0.02734732489112873,0.013057799455714553
10,joints_v2_only,5split,0.3608,0.01984137092037745,0.5460666666666666,0.0876159337547692,0.3652064733439287,0.06312672566914827
10,joints_v2_plus_v2,5split,0.5097999999999999,0.02760157000365497,0.4846,0.011458496899154832,0.5410336942598777,0.5019484918780326
10,hy_residual_plus_jv2,5split,0.49510000000000004,0.0015748015748023602,0.5328666666666667,0.0776473759917735,0.47529313674027623,0.4561936507327618
10,late_fusion_jv2,5split,0.46090000000000003,0.031141719070511623,0.4882333333333333,-0.011160207041354222,0.48569060886453486,0.4607668764222235
11,joints_v2_only,5split,0.10253333333333332,0.04205847780835103,0.45449999999999996,0.07030603623510864,0.09338183048856823,0.11689235210832116
11,joints_v2_plus_v2,5split,0.0929,0.036970348479107774,0.4352666666666667,-0.01909409112559896,0.1296598426740657,0.2280604121590732
11,hy_residual_plus_jv2,5split,0.11,0.013425349157470732,0.4435,-0.05618912294439954,0.11320144520689102,0.1593777144142527
11,late_fusion_jv2,5split,0.022500000000000003,0.026870057685088808,0.3652333333333333,-0.05094126382939372,0.04310773730647174,0.0433759848735601
14,joints_v2_only,5split,0.23623333333333332,0.040508956485640985,0.6061,0.09698732989526439,0.29052037511710654,-0.03082892411539786
14,joints_v2_plus_v2,5split,0.2839333333333333,0.01405046460283629,0.5759,-0.017020700521231957,0.2709601665565161,0.23107678971149828
14,hy_residual_plus_jv2,5split,0.1973,0.06470131374245812,0.6136333333333334,-0.03446883453570688,0.10932902950488071,0.07654821658296918
