item,variant,loocv_ccc_mean,loocv_ccc_std,loocv_mae_mean,screening_5split_ccc,wall_time_s
4,v2_baseline,0.09156666666666667,0.03788626253523682,1.2539333333333333,0.0768,305.3949420452118
5,v2_baseline,0.0814,0.031712142784744136,1.4118000000000002,0.1727,305.7128732204437
6,lr_multitask,-0.06609999999999999,0.031541401363921674,1.4378666666666666,-0.0206999999999999,330.81508708000183
7,item_plus_v2,0.2711333333333334,0.016492894092776912,0.6289666666666666,0.3032333333333333,311.2753632068634
8,item_plus_v2,0.16956666666666667,0.026319869976038166,0.7959666666666667,0.2340666666666666,312.8082072734833
9,hy_residual_item,0.44366666666666665,0.01388172259563713,0.3415000000000001,0.3232,302.7750482559204
10,item_plus_v2,0.4755333333333333,0.02036669394433525,0.5087666666666667,0.5255666666666666,302.01339960098267
11,item_dedicated,0.37939999999999996,0.0184576993871573,0.36336666666666667,0.3194666666666666,26.355304956436157
12,item_plus_v2,0.5928,0.00839404550857333,0.5231,0.5549666666666666,323.7822320461273
13,item_plus_v2,0.11693333333333333,0.0016819301082057162,0.6211333333333334,0.1596666666666666,312.81239223480225
14,item_plus_v2,0.3788333333333333,0.013508598085005789,0.5236333333333333,0.2969333333333333,306.4257552623749
15,item_dedicated,0.05043333333333333,0.007757290477709056,1.1001333333333332,0.0219666666666666,32.03820300102234
16,lr_multitask,0.14693333333333333,0.012172190526861727,0.9001333333333333,0.0753666666666666,307.04208278656006
17,v2_baseline,0.17743333333333333,0.01760725860421081,1.3160666666666667,0.2313666666666666,304.0150628089905
18,hy_residual_item,0.46290000000000003,0.012298238356230815,0.8902333333333333,0.3999666666666666,304.65325808525085
