item,variant,eval,ccc_mean,ccc_std,mae_mean,scrambled_label_ccc
9,ordinal_mord_at,5split,0.2282,0.02667783099629104,0.32276666666666665,0.2180421382341514
9,ordinal_lgb_cuts,5split,0.15886666666666668,0.0627184892108291,0.30456666666666665,-0.0342184911523724
9,ordinal_coral_lgb,5split,0.15886666666666668,0.0627184892108291,0.30456666666666665,-0.0342184911523724
9,ordinal_catboost,5split,0.1876,0.032601533706253766,0.33463333333333334,0.06366478138153558
10,item_plus_v2_plus_nonlinear,5split,0.5236,0.03954979983093045,0.49376666666666663,0.0087745932100414
10,item_plus_v2_only_nl,5split,0.5147666666666667,0.030801334747413478,0.4885,0.046738561620104556
10,ordinal_mord_at,5split,0.4493333333333333,0.08296546805080345,0.5460333333333334,-0.010649468676447432
10,ordinal_lgb_cuts,5split,0.41863333333333336,0.05369049160595281,0.46773333333333333,-0.03962057085371627
10,ordinal_coral_lgb,5split,0.41863333333333336,0.05369049160595281,0.46773333333333333,-0.03962057085371627
10,ordinal_catboost,5split,0.4051666666666667,0.01718726919036944,0.4932,-0.03690506335891244
11,ordinal_mord_at,5split,0.1824,0.03224913435530738,0.32070000000000004,-0.12199228092074492
11,ordinal_lgb_cuts,5split,0.0163,0.034566554162465575,0.2616,-0.06432790064417956
11,ordinal_coral_lgb,5split,0.0163,0.034566554162465575,0.2616,-0.06432790064417956
11,ordinal_catboost,5split,0.13626666666666667,0.11094071489864407,0.3024,-0.09999769570022718
12,item_plus_v2_plus_nonlinear,5split,0.5206000000000001,0.0294615003012406,0.5587000000000001,-0.10717610517741416
12,item_plus_v2_only_nl,5split,0.5504333333333333,0.01604375960372821,0.5393666666666667,-0.10797161407640377
12,ordinal_mord_at,5split,0.5019666666666667,0.08604418761440091,0.5101,-0.15975393108972977
12,ordinal_lgb_cuts,5split,0.5118,0.020302873359863784,0.4755,-0.10095156065091293
12,ordinal_coral_lgb,5split,0.5118,0.020302873359863784,0.4755,-0.10095156065091293
12,ordinal_catboost,5split,0.49323333333333336,0.011152677805003704,0.5315,-0.09782726511606188
13,ordinal_mord_at,5split,0.16423333333333331,0.01782476429640017,0.6895333333333333,0.2644227750862482
13,ordinal_lgb_cuts,5split,0.06409999999999999,0.06880150192159083,0.6186666666666666,0.2059688970313864
13,ordinal_coral_lgb,5split,0.06409999999999999,0.06880150192159083,0.6186666666666666,0.2059688970313864
13,ordinal_catboost,5split,0.12643333333333331,0.03318155444754744,0.5812333333333334,0.1929133478283108
14,ordinal_mord_at,5split,0.20496666666666666,0.05490600048163124,0.6621666666666667,-0.20541468048134076
14,ordinal_lgb_cuts,5split,0.25320000000000004,0.05692749774933025,0.5821999999999999,-0.15208323190122752
14,ordinal_coral_lgb,5split,0.25320000000000004,0.05692749774933025,0.5821999999999999,-0.15208323190122752
14,ordinal_catboost,5split,0.2608333333333333,0.010323220858282972,0.5528333333333334,-0.011874106816442456
